episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,learning_rate_clob,grad_norm_clob,td_abs_mean_clob,td_abs_max_clob,n_grad_steps_clob,loss_auction,learning_rate_auction,grad_norm_auction,td_abs_mean_auction,td_abs_max_auction,n_grad_steps_auction
0,-14.570327018745957,-14.573741984134978,-16.099752879851337,41.45207994024566,0.0,57.551832820097,-1.5260108957168086,0.0,0.5843770519982314,0.5843770519982314,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,-3.5869977658294374,-5.11051419485999,-5.108633469891354,-13.84064300575363,0.0,-8.732009535862272,-0.10867148072776445,0.11055220570205444,0.7178202131691478,-12.343080770336682,13.060900983505855,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,
2,17.82483996333758,17.82465754035943,17.82460832715786,-5.741029879957933,0.0,-23.565638207115796,0.0,-4.921320009456326e-05,0.44243594921155704,-0.13506405078840888,0.5774999999999721,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
3,-45.40339238118992,-45.40358184271998,-45.984826712787765,18.98989383296833,0.0,64.97472054575611,-0.5824863700687501,0.001241499999999753,0.3869167082420262,0.13764502536037915,0.2492716828816719,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
4,1.0,-99.0,-99.0,-98.55898462846459,0.0,0.44101537153540493,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,2.0,0.0,1.0,,,,,,,,,,,,
5,40.90599999999722,-55.36934400000263,-55.35430215252271,-85.14399330114082,0.0,-29.789691148618093,0.0,0.0150418474797429,100.0,98.11999999999992,1.8800000000000736,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
6,6.811741044723021,-134.38419343501454,-134.42029416258742,-163.5428456520914,0.0,-29.122551489503913,0.0,-0.036100727572626834,100.0,118.8258955277584,-18.825895527758412,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
7,-16.4724271765304,-115.40593803800701,-115.40055045800635,-96.7444386420672,0.0,18.656111815939134,0.0,0.005387579999999353,100.0,99.46532604957197,0.5346739504280267,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
8,8.042852528466028,8.03429388791331,7.8655047589396645,-15.91645473869544,0.0,-23.781959497635118,-0.16878912897502119,0.0,0.9251292100413195,0.9251292100413213,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
9,24.044645764697634,20.349562293698277,20.417523109333356,-14.799964251256089,0.0,-35.21748736058944,-0.08777443141312347,0.15573524704869282,0.4999000952008288,-19.222599904797885,19.722499999998732,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
