episode,pnl,objective,training_return,replay_return,potential_adjustment,market_baseline_adjustment,clob_shaping,auction_shaping,inventory_at_auction_open,terminal_inventory,auction_qty,proposal_schedule_arrival_proposed,proposal_schedule_arrival_accepted,proposal_schedule_arrival_rejected,proposal_schedule_arrival_ineligible,proposal_schedule_cancel_proposed,proposal_schedule_cancel_accepted,proposal_schedule_cancel_rejected,proposal_schedule_cancel_ineligible,proposal_buy_arrival_proposed,proposal_buy_arrival_accepted,proposal_buy_arrival_rejected,proposal_buy_arrival_ineligible,proposal_buy_cancel_proposed,proposal_buy_cancel_accepted,proposal_buy_cancel_rejected,proposal_buy_cancel_ineligible,proposal_sell_arrival_proposed,proposal_sell_arrival_accepted,proposal_sell_arrival_rejected,proposal_sell_arrival_ineligible,proposal_sell_cancel_proposed,proposal_sell_cancel_accepted,proposal_sell_cancel_rejected,proposal_sell_cancel_ineligible,loss_clob,n_grad_steps_clob,learning_rate_clob,actor_learning_rate_clob,actor_loss_clob,grad_norm_clob,loss_auction,n_grad_steps_auction,learning_rate_auction,actor_learning_rate_auction,actor_loss_auction,grad_norm_auction
0,-7.64410043321368,-7.653957043396262,-11.339883656249555,0.5819496742415831,0.0,11.921833330491134,-3.685926612855468,0.0,0.9928046223997029,0.9928046223996994,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
1,-5.46722964669425,-5.469872360759222,-5.4488463981488495,-13.062632275921798,1.3877787807814457e-17,-7.613785877772951,0.0,0.021025962607039917,0.6759266526088084,-0.5140733473904793,1.1899999999992659,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
2,27.533035405764167,27.04978636925973,27.049869720910795,-9.283070367293364,0.0,-36.33294008820416,0.0,8.335165079786586e-05,0.1510545631187341,-6.951611586563477,7.1026661496822,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
3,-37.22428361320323,-37.225771000565274,-38.21979709588736,0.7398145748049402,0.0,38.95961167069227,-0.9978821078202316,0.003856012500000877,0.7658320721762664,0.38566661276858183,0.38016545940769164,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
4,25.0,-75.0,-75.0,-83.94042722756598,0.0,-8.940427227565962,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
5,-44.40424999999959,-137.18930624999925,-137.13712118704947,-81.78191941884009,0.0,55.35520176820941,0.0,0.05218506294900338,100.0,96.32499999999982,3.675000000000189,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,11.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,
6,-82.6727499999979,-193.2905562499983,-193.31661631113442,-140.13755382345772,0.0,53.17906248767655,0.0,-0.02606006113622215,100.0,105.17500000000018,-5.175000000000178,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
7,-15.455999999998822,-115.65609999999894,-115.65609999999884,-117.2526628863332,0.0,-1.5965628863343704,0.0,-7.111111699487083e-16,100.0,100.10000000000005,-0.10000000000005116,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,
8,-9.0,-109.0,-109.0,-102.0472464617225,0.0,6.952753538277521,0.0,0.0,100.0,100.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
9,-14.870826230880994,-14.957676248738544,-14.925395812436255,5.360071663509642,0.0,20.285467475945904,-0.003922608797845228,0.03620304509714348,0.007371408060919293,-2.947032708633373,2.9544041166942954,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
